Nombre,Equipo,Juegos Jugados,Rebotes,Promedio
Bradley,Mayaguez San Benito,3,28
Omaet,Arecibo Colegio San Felipe,2,23
Nick,Mayaguez San Benito,3,22
Justin,Arecibo Colegio San Felipe,2,19
Yahir,Mayaguez San Benito,3,16
Geryad,Mayaguez San Benito,3,13
Felix,Dorado Kingdom Christian Academy,2,13
Denzel,Caguas Colegio Bautista,1,13
Michael,Arecibo Colegio San Felipe,2,12
Angel Colon,Dorado Kingdom Christian Academy,2,12
