Nombre,Equipo,Juegos Jugados,Rebotes,Promedio
SEBASTIAN,LOIZA,30,222,7.40
ERICK,LOIZA COCOTERO,21,193,9.19
MIGUEL,LOIZA,28,175,6.25
BRYAN,LOIZA,31,172,5.55
ADALBERTO,MAYAGUEZ,13,143,11.00
XAVIER,MAYAGUEZ,16,122,7.62
SHAREEF,MAYAGUEZ,13,120,9.23
JEAN,BAYAMON,15,98,6.53
LUIS,BAYAMON,25,91,3.64
CHARLIE,GUAYNABO,13,90,6.92
